cpu_infer,round,dataset_name,file_name,prompt_eval_count,prompt_eval_duration,prompt_eval_rate,eval_count,eval_duration,eval_rate
10,1,xsum,36266422,330,19.756876468658447,16.703045166248792,100,31.51292109489441,3.1733015069872903
10,1,xsum,36888270,380,22.881162643432617,16.607547698589876,100,31.10348153114319,3.2150741678185555
10,1,xsum,40143035,180,11.217748880386353,16.046000130625192,100,31.15842890739441,3.209404437470477
10,1,gsm8k,0,66,4.669905185699463,14.13304925378575,100,31.21861171722412,3.203217391785151
10,1,gsm8k,1,61,4.367476463317871,13.966875497174335,100,31.300281047821045,3.1948594917476454
10,1,gsm8k,2,105,6.9127044677734375,15.18942412329399,100,31.075124502182007,3.21800802416667
10,1,gsm8k,3,105,6.950027227401733,15.107854482356357,100,31.155009269714355,3.209756708280281
10,1,gsm8k,4,66,4.693876504898071,14.06087269895764,100,31.385196685791016,3.1862154951946784
10,1,awesome_chatgpt_prompts,0,104,6.845989942550659,15.191374932293865,100,31.321707010269165,3.1926740125375
10,1,awesome_chatgpt_prompts,1,175,10.805698871612549,16.195157951304683,100,31.13508415222168,3.2118108148059843
10,1,awesome_chatgpt_prompts,2,96,6.341768741607666,15.137732691221343,6,2.095048189163208,2.863895938544729
10,1,awesome_chatgpt_prompts,3,132,8.408889293670654,15.697673662959982,11,3.6682443618774414,2.9987097136489833
10,1,awesome_chatgpt_prompts,4,101,6.64934515953064,15.189465665688099,31,9.884289264678955,3.1362902450434196
10,1,humaneval,0,73,5.07606840133667,14.381208886148396,100,31.0277316570282,3.2229233224449603
10,1,humaneval,1,103,6.804709434509277,15.1365757776001,100,31.265490531921387,3.1984145554314005
10,1,humaneval,2,103,6.777978181838989,15.19627199095737,100,31.506575345993042,3.173940642606777
10,1,humaneval,3,84,5.7409350872039795,14.631762722283403,100,31.439140558242798,3.180748526339144
10,1,humaneval,4,83,5.7070746421813965,14.54335280399893,100,31.425079584121704,3.1821717342770857
10,2,triviaqa,0,18,2.3223609924316406,7.750733007771115,100,33.09487867355347,3.02161554923334
10,2,triviaqa,1,14,1.4793541431427002,9.463589272990966,56,19.059368133544922,2.9381876464959364
10,2,triviaqa,2,14,1.4813311100006104,9.45095927945119,56,18.053274154663086,3.10193040443777
10,2,triviaqa,3,15,1.5128734111785889,9.914907545578714,87,28.3160080909729,3.072466984770197
10,2,triviaqa,4,14,1.6543047428131104,8.462769668539604,100,31.982544660568237,3.1267055533355204
10,2,flores101,0,51,3.770509958267212,13.52602182847376,100,31.82938241958618,3.14175118705618
10,2,flores101,1,41,3.251962184906006,12.60777268269036,100,31.791032314300537,3.14554113912863
10,2,flores101,2,44,3.4120686054229736,12.89540307896171,100,31.59395742416382,3.1651622067299994
10,2,flores101,3,60,4.295011520385742,13.969694776188003,100,31.538618803024292,3.1707158967408815
10,2,flores101,4,37,2.992938280105591,12.36243334717034,100,33.336089849472046,2.999751934061449
10,2,xsum,33578778,453,27.335615396499634,16.571787151278375,100,31.96776795387268,3.12815083443715
10,2,xsum,36232142,491,29.216558933258057,16.805538294966027,100,31.629626274108887,3.161592841261522
10,2,xsum,36266422,330,19.985748767852783,16.511765650272125,100,30.889464616775513,3.237349732040736
10,2,xsum,36888270,380,22.86583113670349,16.618683035318856,100,31.21884512901306,3.2031934425103237
10,2,xsum,40143035,180,11.200071573257446,16.071325868112154,100,30.525660514831543,3.275932389781144
10,2,gsm8k,0,66,4.628188610076904,14.260438707337666,100,30.4419264793396,3.2849432202613142
10,2,gsm8k,1,61,4.307993412017822,14.15972453203641,100,30.748460292816162,3.252195363530552
10,2,gsm8k,2,105,6.973494529724121,15.057013316988135,100,30.807502031326294,3.245962619699449
10,2,gsm8k,3,105,6.94252872467041,15.124172209310487,100,30.85547161102295,3.2409162712092705
10,2,gsm8k,4,66,4.69629693031311,14.053625862962559,100,31.65356707572937,3.159201607855306
10,2,awesome_chatgpt_prompts,0,104,6.833501577377319,15.219137483526408,100,31.501169681549072,3.174485297241905
10,2,awesome_chatgpt_prompts,1,175,10.864556074142456,16.107422963787577,100,31.291982650756836,3.1957067443146294
10,2,awesome_chatgpt_prompts,2,96,6.382232666015625,15.041758115648893,6,2.134765386581421,2.8106133056655485
10,2,awesome_chatgpt_prompts,3,132,8.414073467254639,15.688001835699353,11,3.733581304550171,2.9462328801020448
10,2,awesome_chatgpt_prompts,4,101,6.5966691970825195,15.310757138567572,31,9.913421630859375,3.1270736940614388
10,2,humaneval,0,73,5.10744047164917,14.292873388385988,100,30.594091415405273,3.2686049944155635
10,2,humaneval,1,103,6.784184694290161,15.182369679099226,100,30.787217140197754,3.2481012994654077
10,2,humaneval,2,103,6.820876359939575,15.100698878657354,100,30.64821457862854,3.2628328068980403
10,2,humaneval,3,84,5.6922972202301025,14.756783904654302,100,30.71983551979065,3.2552257623767864
10,2,humaneval,4,83,5.641124963760376,14.71337730208199,100,30.610822439193726,3.2668184658756902
